NPRO;CUMUN;NMUN;ALQTBID12_M_VC_11
Alicante;3072;Gaianes;
Alicante;3073;Gorga;
Alicante;3074;Granja de Rocamora;
Alicante;3075;Castell de Guadalest, el;
Alicante;3076;Guardamar del Segura;317
Alicante;3077;Fondó de les Neus, el/Hondón de las Nieves;
Alicante;3078;Hondón de los Frailes;
Alicante;3079;Ibi;300
Alicante;3080;Jacarilla;
Alicante;3081;Xaló;250
Alicante;3082;Jávea/Xàbia;400
Alicante;3083;Jijona/Xixona;300
Alicante;3084;Lorcha/Orxa, l';
Alicante;3085;Llíber;
Alicante;3086;Millena;
Alicante;3088;Monforte del Cid;300
Alicante;3089;Monóvar/Monòver;275
Alicante;3090;Mutxamel;400
Alicante;3091;Murla;
Alicante;3092;Muro de Alcoy;292
Alicante;3093;Novelda;307
Alicante;3094;Nucia, la;400
Alicante;3095;Ondara;300
Alicante;3096;Onil;275
Alicante;3097;Orba;
Alicante;3098;Orxeta;
Alicante;3099;Orihuela;349
Alicante;3100;Parcent;
Alicante;3101;Pedreguer;320
Alicante;3102;Pego;300
Alicante;3103;Penàguila;
Alicante;3104;Petrer;300
Alicante;3105;Pinós, el/Pinoso;250
Alicante;3106;Planes;
Alicante;3107;Polop;330
Alicante;3109;Rafal;
Alicante;3110;Ràfol d'Almúnia, El;
Alicante;3111;Redován;
Alicante;3112;Relleu;
Alicante;3113;Rojales;330
Alicante;3114;Romana, la;
Alicante;3115;Sagra;
Alicante;3116;Salinas;
Alicante;3117;Sanet y Negrals;
Alicante;3118;San Fulgencio;
Alicante;3119;Sant Joan d'Alacant;427
Alicante;3120;San Miguel de Salinas;300
Alicante;3121;Santa Pola;371
Alicante;3122;San Vicente del Raspeig/Sant Vicent del Raspeig;400
Alicante;3123;Sax;275
Alicante;3124;Sella;
Alicante;3125;Senija;
Alicante;3127;Tàrbena;
Alicante;3128;Teulada;403
Alicante;3129;Tibi;
Alicante;3130;Tollos;
Alicante;3131;Tormos;
Alicante;3132;Torremanzanas/Torre de les Maçanes, la;
Alicante;3133;Torrevieja;300
Alicante;3134;Vall d'Alcalà, la;
Alicante;3135;Vall d'Ebo, la;
Alicante;3136;Vall de Gallinera;
Alicante;3137;Vall de Laguar, la;
Alicante;3138;Verger, el;357
Alicante;3139;Villajoyosa/Vila Joiosa, la;367
Alicante;3140;Villena;300
Alicante;3901;Poblets, els;
Alicante;3902;Pilar de la Horadada;300
Alicante;3903;Montesinos, Los;220
Alicante;3904;San Isidro;
Almería;4001;Abla;
Almería;4002;Abrucena;
Almería;4003;Adra;321
Almería;4004;Albánchez;
Almería;4005;Alboloduy;
Almería;4006;Albox;250
Almería;4007;Alcolea;
Almería;4008;Alcóntar;
Almería;4009;Alcudia de Monteagud;
Almería;4010;Alhabia;
Almería;4011;Alhama de Almería;
Almería;4012;Alicún;
Almería;4013;Almería;420
Almería;4014;Almócita;
Almería;4015;Alsodux;
Almería;4016;Antas;
Almería;4017;Arboleas;
Almería;4018;Armuña de Almanzora;
Almería;4019;Bacares;
Almería;4020;Bayárcal;
Almería;4021;Bayarque;
Almería;4022;Bédar;
Almería;4023;Beires;
Almería;4024;Benahadux;350
Almería;4026;Benitagla;
Almería;4027;Benizalón;
Almería;4028;Bentarique;
Almería;4029;Berja;365
Almería;4030;Canjáyar;
Almería;4031;Cantoria;
Almería;4032;Carboneras;300
Almería;4033;Castro de Filabres;
Almería;4034;Cóbdar;
Almería;4035;Cuevas del Almanzora;300
Almería;4036;Chercos;
Almería;4037;Chirivel;
Almería;4038;Dalías;
Almería;4041;Enix;
Almería;4043;Felix;
Almería;4044;Fines;
Almería;4045;Fiñana;
Almería;4046;Fondón;
Almería;4047;Gádor;297
Almería;4048;Gallardos, Los;
Almería;4049;Garrucha;300
Almería;4050;Gérgal;
Almería;4051;Huécija;
Almería;4052;Huércal de Almería;367
Almería;4053;Huércal-Overa;327
Almería;4054;Illar;
Almería;4055;Instinción;
Almería;4056;Laroya;
Almería;4057;Láujar de Andarax;
Almería;4058;Líjar;
Almería;4059;Lubrín;
Almería;4060;Lucainena de las Torres;
Almería;4061;Lúcar;
Almería;4062;Macael;
Almería;4063;María;
Almería;4064;Mojácar;380
Almería;4065;Nacimiento;
Almería;4066;Níjar;350
Almería;4067;Ohanes;
Almería;4068;Olula de Castro;
Almería;4069;Olula del Río;253
Almería;4070;Oria;
Almería;4071;Padules;
Almería;4072;Partaloa;
Almería;4073;Paterna del Río;
Almería;4074;Pechina;
Almería;4075;Pulpí;329
Almería;4076;Purchena;
Almería;4077;Rágol;
Almería;4078;Rioja;
Almería;4079;Roquetas de Mar;350
Almería;4080;Santa Cruz de Marchena;
Almería;4081;Santa Fe de Mondújar;
Almería;4082;Senés;
Almería;4083;Serón;
Almería;4084;Sierro;
Almería;4085;Somontín;
Almería;4086;Sorbas;
Almería;4087;Suflí;
Almería;4088;Tabernas;
Almería;4089;Taberno;
Almería;4090;Tahal;
Almería;4091;Terque;
Almería;4092;Tíjola;
Almería;4093;Turre;200
Almería;4094;Turrillas;
Almería;4095;Uleila del Campo;
Almería;4096;Urrácal;
Almería;4097;Velefique;
Almería;4098;Vélez-Blanco;
Almería;4099;Vélez-Rubio;229
Almería;4100;Vera;342
Almería;4101;Viator;375
Almería;4102;Vícar;318
Almería;4103;Zurgena;
Almería;4901;Tres Villas, Las;
Almería;4902;Ejido, El;351
Almería;4903;Mojonera, La;
Almería;4904;Balanegra;
Ávila;5001;Adanero;
Ávila;5002;Adrada, La;200
Ávila;5005;Albornos;
Ávila;5007;Aldeanueva de Santa Cruz;
Ávila;5008;Aldeaseca;
Ávila;5010;Aldehuela, La;
Ávila;5012;Amavida;
Ávila;5013;Arenal, El;
Ávila;5014;Arenas de San Pedro;255
Ávila;5015;Arevalillo;
Ávila;5016;Arévalo;300
Ávila;5017;Aveinte;
Ávila;5018;Avellaneda;
Ávila;5019;Ávila;380
Ávila;5021;Barco de Ávila, El;300
Ávila;5022;Barraco, El;250
Ávila;5023;Barromán;
Ávila;5024;Becedas;
Ávila;5025;Becedillas;
Ávila;5026;Bercial de Zapardiel;
Ávila;5027;Berlanas, Las;
Ávila;5029;Bernuy-Zapardiel;
Ávila;5030;Berrocalejo de Aragona;
Ávila;5033;Blascomillán;
Ávila;5034;Blasconuño de Matacabras;
Ávila;5035;Blascosancho;
Ávila;5036;Bohodón, El;
Ávila;5037;Bohoyo;
Ávila;5038;Bonilla de la Sierra;
Ávila;5039;Brabos;
Ávila;5040;Bularros;
Ávila;5041;Burgohondo;
Ávila;5042;Cabezas de Alambre;
Ávila;5043;Cabezas del Pozo;
Ávila;5044;Cabezas del Villar;
Ávila;5045;Cabizuela;
Ávila;5046;Canales;
Ávila;5047;Candeleda;250
Ávila;5048;Cantiveros;
Ávila;5049;Cardeñosa;
Ávila;5051;Carrera, La;
Ávila;5052;Casas del Puerto;
Ávila;5053;Casasola;
Ávila;5054;Casavieja;
Ávila;5055;Casillas;
Ávila;5056;Castellanos de Zapardiel;
Ávila;5057;Cebreros;218
Ávila;5058;Cepeda la Mora;
Ávila;5059;Cillán;
Ávila;5060;Cisla;
Ávila;5061;Colilla, La;
Ávila;5062;Collado de Contreras;
Ávila;5063;Collado del Mirón;
Ávila;5064;Constanzana;
Ávila;5065;Crespos;
Ávila;5066;Cuevas del Valle;
Ávila;5067;Chamartín;
Ávila;5069;Donjimeno;
Ávila;5070;Donvidas;
Ávila;5072;Espinosa de los Caballeros;
Ávila;5073;Flores de Ávila;
Ávila;5074;Fontiveros;
Ávila;5075;Fresnedilla;
Ávila;5076;Fresno, El;
Ávila;5077;Fuente el Saúz;
Ávila;5078;Fuentes de Año;
Ávila;5079;Gallegos de Altamiros;
Ávila;5080;Gallegos de Sobrinos;
Ávila;5081;Garganta del Villar;
Ávila;5082;Gavilanes;
Ávila;5083;Gemuño;
Ávila;5084;Gilbuena;
Ávila;5085;Gil García;
Ávila;5086;Gimialcón;
Ávila;5087;Gotarrendura;
Ávila;5088;Grandes y San Martín;
Ávila;5089;Guisando;85
Ávila;5090;Gutierre-Muñoz;
Ávila;5092;Hernansancho;
Ávila;5093;Herradón de Pinares;
Ávila;5094;Herreros de Suso;
Ávila;5095;Higuera de las Dueñas;
Ávila;5096;Hija de Dios, La;
Ávila;5097;Horcajada, La;
Ávila;5099;Horcajo de las Torres;
Ávila;5100;Hornillo, El;
Ávila;5101;Hoyocasero;
Ávila;5102;Hoyo de Pinares, El;188
Ávila;5103;Hoyorredondo;
Ávila;5104;Hoyos del Collado;
Ávila;5105;Hoyos del Espino;
Ávila;5106;Hoyos de Miguel Muñoz;
Ávila;5107;Hurtumpascual;
Ávila;5108;Junciana;
Ávila;5109;Langa;
Ávila;5110;Lanzahíta;
Ávila;5112;Losar del Barco, El;
Ávila;5113;Llanos de Tormes, Los;
Ávila;5114;Madrigal de las Altas Torres;
Ávila;5115;Maello;
Ávila;5116;Malpartida de Corneja;
Ávila;5117;Mamblas;
Ávila;5118;Mancera de Arriba;
Ávila;5119;Manjabálago;
Ávila;5120;Marlín;
Ávila;5121;Martiherrero;
Ávila;5122;Martínez;
Ávila;5123;Mediana de Voltoya;
Ávila;5124;Medinilla;
Ávila;5125;Mengamuñoz;
Ávila;5126;Mesegar de Corneja;
Ávila;5127;Mijares;
Ávila;5128;Mingorría;
Ávila;5129;Mirón, El;
Ávila;5130;Mironcillo;
Ávila;5131;Mirueña de los Infanzones;
Ávila;5132;Mombeltrán;
Ávila;5133;Monsalupe;
Ávila;5134;Moraleja de Matacabras;
Ávila;5135;Muñana;
Ávila;5136;Muñico;
Ávila;5138;Muñogalindo;
Ávila;5139;Muñogrande;
Ávila;5140;Muñomer del Peco;
Ávila;5141;Muñopepe;
Ávila;5142;Muñosancho;
Ávila;5143;Muñotello;
Ávila;5144;Narrillos del Álamo;
Ávila;5145;Narrillos del Rebollar;
Ávila;5147;Narros del Castillo;
Ávila;5148;Narros del Puerto;
Ávila;5149;Narros de Saldueña;
Ávila;5151;Navacepedilla de Corneja;
Ávila;5152;Nava de Arévalo;
Ávila;5153;Nava del Barco;
Ávila;5154;Navadijos;
Ávila;5155;Navaescurial;
Ávila;5156;Navahondilla;
Ávila;5157;Navalacruz;
Ávila;5158;Navalmoral;
Ávila;5159;Navalonguilla;
Ávila;5160;Navalosa;
Ávila;5161;Navalperal de Pinares;217
Ávila;5162;Navalperal de Tormes;
Ávila;5163;Navaluenga;177
Ávila;5164;Navaquesera;
Ávila;5165;Navarredonda de Gredos;
Ávila;5166;Navarredondilla;
Ávila;5167;Navarrevisca;
Ávila;5168;Navas del Marqués, Las;300
Ávila;5169;Navatalgordo;
Ávila;5170;Navatejares;
Ávila;5171;Neila de San Miguel;
Ávila;5172;Niharra;
Ávila;5173;Ojos-Albos;
Ávila;5174;Orbita;
Ávila;5175;Oso, El;
Ávila;5176;Padiernos;
Ávila;5177;Pajares de Adaja;
Ávila;5178;Palacios de Goda;
Ávila;5179;Papatrigo;
Ávila;5180;Parral, El;
Ávila;5181;Pascualcobo;
Ávila;5182;Pedro Bernardo;
Ávila;5183;Pedro-Rodríguez;
Ávila;5184;Peguerinos;
Ávila;5185;Peñalba de Ávila;
Ávila;5186;Piedrahíta;250
Ávila;5187;Piedralaves;255
Ávila;5188;Poveda;
Ávila;5189;Poyales del Hoyo;
Ávila;5190;Pozanco;
Ávila;5191;Pradosegar;
Ávila;5192;Puerto Castilla;
Ávila;5193;Rasueros;
Ávila;5194;Riocabado;
Ávila;5195;Riofrío;
Ávila;5196;Rivilla de Barajas;
Ávila;5197;Salobral;
Ávila;5198;Salvadiós;
Ávila;5199;San Bartolomé de Béjar;
Ávila;5200;San Bartolomé de Corneja;
Ávila;5201;San Bartolomé de Pinares;
Ávila;5204;Sanchidrián;
Ávila;5205;Sanchorreja;
Ávila;5206;San Esteban de los Patos;
Ávila;5207;San Esteban del Valle;
Ávila;5208;San Esteban de Zapardiel;
Ávila;5209;San García de Ingelmos;
Ávila;5210;San Juan de la Encinilla;
Ávila;5211;San Juan de la Nava;
Ávila;5212;San Juan del Molinillo;
Ávila;5213;San Juan del Olmo;
Ávila;5214;San Lorenzo de Tormes;
Ávila;5215;San Martín de la Vega del Alberche;
Ávila;5216;San Martín del Pimpollar;
Ávila;5217;San Miguel de Corneja;
Ávila;5218;San Miguel de Serrezuela;
Ávila;5219;San Pascual;
Ávila;5220;San Pedro del Arroyo;
Ávila;5221;Santa Cruz del Valle;
Ávila;5222;Santa Cruz de Pinares;
Ávila;5224;Santa María del Arroyo;
Ávila;5225;Santa María del Berrocal;
Ávila;5226;Santa María de los Caballeros;
Ávila;5227;Santa María del Tiétar;143
Ávila;5228;Santiago del Collado;
Ávila;5229;Santo Domingo de las Posadas;
Ávila;5230;Santo Tomé de Zabarcos;
Ávila;5231;San Vicente de Arévalo;
Ávila;5232;Serrada, La;
Ávila;5233;Serranillos;
Ávila;5234;Sigeres;
Ávila;5235;Sinlabajos;
Ávila;5236;Solana de Ávila;
Ávila;5237;Solana de Rioalmar;
Ávila;5238;Solosancho;
Ávila;5239;Sotalbo;
Ávila;5240;Sotillo de la Adrada;275
Ávila;5241;Tiemblo, El;248
Ávila;5242;Tiñosillos;
Ávila;5243;Tolbaños;
Ávila;5244;Tormellas;
Ávila;5245;Tornadizos de Ávila;
Ávila;5246;Tórtoles;
Ávila;5247;Torre, La;
Ávila;5249;Umbrías;
Ávila;5251;Vadillo de la Sierra;
Ávila;5252;Valdecasa;
Ávila;5253;Vega de Santa María;
Ávila;5254;Velayos;
Ávila;5256;Villaflor;
Ávila;5257;Villafranca de la Sierra;
Ávila;5258;Villanueva de Gómez;
Ávila;5259;Villanueva del Aceral;
Ávila;5260;Villanueva del Campillo;
Ávila;5261;Villar de Corneja;
Ávila;5262;Villarejo del Valle;
Ávila;5263;Villatoro;
Ávila;5264;Viñegra de Moraña;
Ávila;5265;Vita;
Ávila;5266;Zapardiel de la Cañada;
Ávila;5267;Zapardiel de la Ribera;
Ávila;5901;San Juan de Gredos;
Ávila;5902;Santa María del Cubillo;
Ávila;5903;Diego del Carpio;
Ávila;5904;Santiago del Tormes;
Ávila;5905;Villanueva de Ávila;
Badajoz;6001;Acedera;
Badajoz;6002;Aceuchal;
Badajoz;6003;Ahillones;
Badajoz;6004;Alange;
Badajoz;6005;Albuera, La;
Badajoz;6006;Alburquerque;220
Badajoz;6007;Alconchel;
Badajoz;6008;Alconera;
Badajoz;6009;Aljucén;
Badajoz;6010;Almendral;
Badajoz;6011;Almendralejo;292
Badajoz;6012;Arroyo de San Serván;
Badajoz;6013;Atalaya;
Badajoz;6014;Azuaga;252
Badajoz;6015;Badajoz;398
Badajoz;6016;Barcarrota;
Badajoz;6017;Baterno;
Badajoz;6018;Benquerencia de la Serena;
Badajoz;6019;Berlanga;
Badajoz;6020;Bienvenida;
Badajoz;6021;Bodonal de la Sierra;
Badajoz;6022;Burguillos del Cerro;
Badajoz;6023;Cabeza del Buey;
Badajoz;6024;Cabeza la Vaca;
Badajoz;6025;Calamonte;
Badajoz;6026;Calera de León;
Badajoz;6027;Calzadilla de los Barros;
Badajoz;6028;Campanario;193
Badajoz;6029;Campillo de Llerena;
Badajoz;6030;Capilla;
Badajoz;6031;Carmonita;
Badajoz;6032;Carrascalejo, El;
Badajoz;6033;Casas de Don Pedro;
Badajoz;6034;Casas de Reina;
Badajoz;6035;Castilblanco;
Badajoz;6036;Castuera;200
Badajoz;6037;Codosera, La;
Badajoz;6038;Cordobilla de Lácara;
Badajoz;6039;Coronada, La;
Badajoz;6040;Corte de Peleas;
Badajoz;6041;Cristina;
Badajoz;6042;Cheles;
Badajoz;6043;Don Álvaro;
Badajoz;6044;Don Benito;310
Badajoz;6045;Entrín Bajo;
Badajoz;6046;Esparragalejo;
Badajoz;6047;Esparragosa de la Serena;
Badajoz;6048;Esparragosa de Lares;
Badajoz;6049;Feria;
Badajoz;6050;Fregenal de la Sierra;245
Badajoz;6051;Fuenlabrada de los Montes;
Badajoz;6052;Fuente de Cantos;
Badajoz;6053;Fuente del Arco;
Badajoz;6054;Fuente del Maestre;
Badajoz;6055;Fuentes de León;
Badajoz;6056;Garbayuela;
Badajoz;6057;Garlitos;
Badajoz;6058;Garrovilla, La;
Badajoz;6059;Granja de Torrehermosa;
Badajoz;6060;Guareña;215
Badajoz;6061;Haba, La;
Badajoz;6062;Helechosa de los Montes;
Badajoz;6063;Herrera del Duque;
Badajoz;6064;Higuera de la Serena;
Badajoz;6065;Higuera de Llerena;
Badajoz;6066;Higuera de Vargas;
Badajoz;6067;Higuera la Real;
Badajoz;6068;Hinojosa del Valle;
Badajoz;6069;Hornachos;
Badajoz;6070;Jerez de los Caballeros;250
Badajoz;6071;Lapa, La;
Badajoz;6072;Lobón;
Badajoz;6073;Llera;
Badajoz;6074;Llerena;270
Badajoz;6075;Magacela;
Badajoz;6076;Maguilla;
Badajoz;6077;Malcocinado;
Badajoz;6078;Malpartida de la Serena;
Badajoz;6079;Manchita;
Badajoz;6080;Medellín;
Badajoz;6081;Medina de las Torres;
Badajoz;6082;Mengabril;
Badajoz;6083;Mérida;350
Badajoz;6084;Mirandilla;
Badajoz;6085;Monesterio;
Badajoz;6086;Montemolín;
Badajoz;6087;Monterrubio de la Serena;
Badajoz;6088;Montijo;265
Badajoz;6089;Morera, La;
Badajoz;6090;Nava de Santiago, La;
Badajoz;6091;Navalvillar de Pela;
Badajoz;6092;Nogales;
Badajoz;6093;Oliva de la Frontera;
Badajoz;6094;Oliva de Mérida;
Badajoz;6095;Olivenza;250
Badajoz;6096;Orellana de la Sierra;
Badajoz;6097;Orellana la Vieja;
Badajoz;6098;Palomas;
Badajoz;6099;Parra, La;
Badajoz;6100;Peñalsordo;
Badajoz;6101;Peraleda del Zaucejo;
Badajoz;6102;Puebla de Alcocer;
Badajoz;6103;Puebla de la Calzada;279
Badajoz;6104;Puebla de la Reina;
Badajoz;6105;Puebla del Maestre;
Badajoz;6106;Puebla del Prior;
Badajoz;6107;Puebla de Obando;
Badajoz;6108;Puebla de Sancho Pérez;
Badajoz;6109;Quintana de la Serena;
Badajoz;6110;Reina;
Badajoz;6111;Rena;
Badajoz;6112;Retamal de Llerena;
Badajoz;6113;Ribera del Fresno;
Badajoz;6114;Risco;
Badajoz;6115;Roca de la Sierra, La;
Badajoz;6116;Salvaleón;
Badajoz;6117;Salvatierra de los Barros;
Badajoz;6118;Sancti-Spíritus;
Badajoz;6119;San Pedro de Mérida;
Badajoz;6120;Santa Amalia;
Badajoz;6121;Santa Marta;
Badajoz;6122;Santos de Maimona, Los;200
Badajoz;6123;San Vicente de Alcántara;175
Badajoz;6124;Segura de León;
Badajoz;6125;Siruela;
Badajoz;6126;Solana de los Barros;
Badajoz;6127;Talarrubias;
Badajoz;6128;Talavera la Real;
Badajoz;6129;Táliga;
Badajoz;6130;Tamurejo;
Badajoz;6131;Torre de Miguel Sesmero;
Badajoz;6132;Torremayor;
Badajoz;6133;Torremejía;
Badajoz;6134;Trasierra;
Badajoz;6135;Trujillanos;
Badajoz;6136;Usagre;
Badajoz;6137;Valdecaballeros;
Badajoz;6138;Valdetorres;
Badajoz;6139;Valencia de las Torres;
Badajoz;6140;Valencia del Mombuey;
Badajoz;6141;Valencia del Ventoso;
Badajoz;6142;Valverde de Burguillos;
Badajoz;6143;Valverde de Leganés;
Badajoz;6144;Valverde de Llerena;
Badajoz;6145;Valverde de Mérida;
Badajoz;6146;Valle de la Serena;
Badajoz;6147;Valle de Matamoros;
Badajoz;6148;Valle de Santa Ana;
Badajoz;6149;Villafranca de los Barros;300
Badajoz;6150;Villagarcía de la Torre;
Badajoz;6151;Villagonzalo;
Badajoz;6152;Villalba de los Barros;
Badajoz;6153;Villanueva de la Serena;275
Badajoz;6154;Villanueva del Fresno;
Badajoz;6155;Villar del Rey;
Badajoz;6156;Villar de Rena;
Badajoz;6157;Villarta de los Montes;
Badajoz;6158;Zafra;300
Badajoz;6159;Zahínos;
Badajoz;6160;Zalamea de la Serena;
Badajoz;6161;Zarza-Capilla;
Badajoz;6162;Zarza, La;
Badajoz;6901;Valdelacalzada;
Badajoz;6902;Pueblonuevo del Guadiana;
Badajoz;6903;Guadiana;
Balears, Illes;7001;Alaró;500
Balears, Illes;7002;Alaior;369
Balears, Illes;7003;Alcúdia;458
Balears, Illes;7004;Algaida;521
Balears, Illes;7005;Andratx;550
Balears, Illes;7006;Artà;400
Balears, Illes;7007;Banyalbufar;
Balears, Illes;7008;Binissalem;500
Balears, Illes;7009;Búger;
Balears, Illes;7010;Bunyola;500
Balears, Illes;7011;Calvià;530
Balears, Illes;7012;Campanet;
Balears, Illes;7013;Campos;400
Balears, Illes;7014;Capdepera;400
Balears, Illes;7015;Ciutadella de Menorca;400
Balears, Illes;7016;Consell;353
Balears, Illes;7017;Costitx;
Balears, Illes;7018;Deyá;
Balears, Illes;7019;Escorca;
Balears, Illes;7020;Esporles;600
Balears, Illes;7021;Estellencs;
Balears, Illes;7022;Felanitx;350
Balears, Illes;7023;Ferreries;395
Balears, Illes;7024;Formentera;635
Balears, Illes;7025;Fornalutx;
Balears, Illes;7026;Eivissa;529
Balears, Illes;7027;Inca;400
Balears, Illes;7028;Lloret de Vistalegre;
Balears, Illes;7029;Lloseta;360
Balears, Illes;7030;Llubí;
Balears, Illes;7031;Llucmajor;500
Balears, Illes;7032;Maó;400
Balears, Illes;7033;Manacor;350
Balears, Illes;7034;Mancor de la Vall;
Balears, Illes;7035;Maria de la Salut;
Balears, Illes;7036;Marratxí;550
Balears, Illes;7037;Mercadal, Es;363
Balears, Illes;7038;Montuïri;
Balears, Illes;7039;Muro;400
Balears, Illes;7040;Palma;518
Balears, Illes;7041;Petra;
Balears, Illes;7042;Pollença;486
Balears, Illes;7043;Porreres;400
Balears, Illes;7044;Pobla, Sa;400
Balears, Illes;7045;Puigpunyent;698
Balears, Illes;7046;Sant Antoni de Portmany;450
Balears, Illes;7047;Sencelles;
Balears, Illes;7048;Sant Josep de sa Talaia;550
Balears, Illes;7049;Sant Joan;
Balears, Illes;7050;Sant Joan de Labritja;525
Balears, Illes;7051;Sant Llorenç des Cardassar;400
Balears, Illes;7052;Sant Lluís;425
Balears, Illes;7053;Santa Eugènia;450
Balears, Illes;7054;Santa Eulalia del Río;505
Balears, Illes;7055;Santa Margalida;447
Balears, Illes;7056;Santa María del Camí;518
Balears, Illes;7057;Santanyí;375
Balears, Illes;7058;Selva;486
Balears, Illes;7059;Salines, Ses;401
Balears, Illes;7060;Sineu;454
Balears, Illes;7061;Sóller;492
Balears, Illes;7062;Son Servera;375
